昵称,地区,日期,评论
殇,四川,2024-12-04 23:06:56,必须祝贺，优秀传统文化必须得到传承！！
草原之鹰,陕西,2024-12-04 23:08:09,好消息，中国文化博大精深，走向世界！
沉默,陕西,2024-12-04 23:08:42,冲出亚洲，走向世界，祖国加油[玫瑰][玫瑰][玫瑰]
芝藕粥,河南,2024-12-04 23:08:54,祝贺祖国越来越强大，传统节日越来越深入人心[鼓掌][鼓掌][鼓掌]
狼行天下,广西,2024-12-04 23:08:02,恭喜贺喜！预祝大家新年快乐！万事如意！身体健康！阖家幸福！心想事成！[发][发][发][发]
Do vis l,山东,2024-12-04 23:09:21,祝愿祖国越来越好！！！为祖国点赞[赞][赞][赞]
涛,山西,2024-12-04 23:07:18,文化强，中国强
阿窝鹅鹅鹅,湖北,2024-12-04 23:09:19,[比心][比心][比心]我爱祖国
咻的一下来了,江苏,2024-12-04 23:06:48,祝国家越来越强大 [大笑][大笑][大笑]
亿杭梦飞,浙江,2024-12-05 21:05:48,弱弱的问一句：韩国也有春节吗[抠鼻][尬笑]
李瑜,山东,2024-12-05 07:21:52,本来就是，申遗成功有这么重要吗？
王二顺,河南,2024-12-05 04:01:30,韩国人怎么想？
斑马不睡觉,海南,2024-12-04 23:07:20,啥时候春节可以放鞭炮回来啊[流泪][流泪][流泪][流泪][流泪][流泪]
媛媛百货,陕西,2024-12-04 23:37:09,没有鞭炮的春节，不能成为完整的春节
上海药皂官方旗舰店直播号,安徽,2024-12-05 08:07:52,申遗成功这么开心，春节不多放两天假吗？[泣不成声][泣不成声]
等我改一下手,广东,2024-12-04 23:08:58,隔壁现在应该没空狗叫了
nobody,四川,2024-12-04 23:08:37,"[看][看][看]以后叫chunjie,不叫Spring Festival"
宇通客车,河南,2024-12-06 11:46:29,祝贺春节申遗成功[撒花][撒花]
刘浩――彬县人在西安!,陕西,2024-12-04 23:06:00,冒昧的问一下，以后过年能放鞭炮吗？[捂脸][捂脸][捂脸]
超哥,天津,2024-12-04 23:09:17,可以放炮吗
J、ump,北京,2024-12-04 23:09:13,可以放鞭炮不[烟花][烟花][烟花]
豫见交通,未知,2024-12-05 13:01:38,春节申遗成功[赞]
柳啸洪,广东,2024-12-05 00:48:30,[鞭炮][鞭炮][鞭炮]放鞭炮庆祝一下[呲牙]
流行经典粤语,广东,2024-12-05 00:17:38,韩国：天塌了……
白玉官方旗舰店,上海,2024-12-05 00:29:38,玉儿热烈祝贺春节申遗成功[玫瑰]永远为祖国骄傲
粤观city集合,湖北,2024-12-04 23:06:11,祝贺祖国![鼓掌]
老爸评测,浙江,2024-12-05 10:11:40,提前祝大家新年快乐！
咻的一下来了,江苏,2024-12-04 23:07:28,提前祝大家2025年新年快乐[抱抱你][抱抱你][抱抱你]
酷酷的柒,四川,2024-12-04 23:07:15,完了，韩国申不了了[看][看][看]
周雪,江苏,2024-12-04 23:22:16,祖国万岁，春节也快来了
胡忠哥 （20：08首播）,广东,2024-12-04 23:08:36,祖国五千多年的历史！应报的都要报，一个都不能少！
城南,四川,2024-12-04 23:08:58,春节发源地-南充市阆中市[爱心][爱心][爱心]
LAQ,江苏,2024-12-04 23:05:08,恭喜恭喜[大笑][大笑][大笑]
郭88,内蒙古,2024-12-04 23:08:04,这个主持人是谁呀
DBB,山西,2024-12-04 23:07:31,为了庆祝一下，是不是多加几天假[捂脸][捂脸][捂脸]
他忘记填了,四川,2024-12-04 23:06:15,春节再来点假期吧，不够用啊！
周雪,江苏,2024-12-04 23:21:45,在即将2025年春节到来之际，给全球华人最好的春节礼物！
校门口李四,湖南,2024-12-04 23:08:13,鞭炮能放么？
^_^／,吉林,2024-12-04 23:06:05,祝贺祝贺祝贺你[送心][送心][送心]
沁如美发,山东,2024-12-04 23:06:44,全世界都过春节[比心][比心][比心]
孟孟呀,广东,2024-12-04 23:08:24,[玫瑰][玫瑰][玫瑰]太棒了！
one2free,广东,2024-12-04 23:09:17,广东传来祝贺[鼓掌][鼓掌][鼓掌][鼓掌][鼓掌][鼓掌][鼓掌][鼓掌][鼓掌]
半勺咖啡,浙江,2024-12-04 23:09:01,气氛都到这了，那就祝大家新年快乐吧！
珍妮玛・德帅,黑龙江,2024-12-04 23:06:23,祖国万岁
蓓蓓Chen,广西,2024-12-04 23:09:18,[赞][赞][赞]
LINKIN PARK,四川,2024-12-04 23:09:23,大家一个月后新年快乐！
烨宇潘泮,广西,2024-12-04 23:09:18,必须点赞[赞][赞][赞]
rio6644,上海,2024-12-04 23:09:14,[赞][赞][赞]
舍予LED大屏（宏顺电子）,安徽,2024-12-04 23:07:18,太好了，中秋应该也可以吧[666][666][666]
（李）,上海,2024-12-04 23:08:38,华夏人，牛！！！
景县呔戈童装用品店,河北,2024-12-04 23:08:39,让世界都过春节[微笑][微笑][微笑]
小小杏花仙,北京,2024-12-04 23:08:47,我就知道，是我们的！毋庸置疑！
Ink-LC,江苏,2024-12-04 23:06:25,第一了，祝祖国妈妈繁荣昌盛
^_^／,吉林,2024-12-04 23:06:23,千万别被韩国人搞事情啊兄弟们
学不会.,浙江,2024-12-04 23:05:55,祖国万岁！
o灬恙,安徽,2024-12-04 23:07:51,好吧，蹲个第一！！
茶醋酱盐油米菜,安徽,2024-12-04 23:09:10,[玫瑰][玫瑰][玫瑰]
敌敌卫,河南,2024-12-04 23:06:51,中国万岁
和平精英小龙（不收徒）,甘肃,2024-12-04 23:06:51,中华兴盛[赞][赞][赞]
一缕经烟,广东,2024-12-04 23:09:16,[赞][赞][赞][赞][赞][赞]
我是谁呢,天津,2024-12-04 23:04:12,第一
'@小杨同学很哇塞,四川,2024-12-04 23:05:21,第一个
生而不樊,陕西,2024-12-04 23:09:13,[鼓掌][鼓掌][鼓掌]
大理弥渡的小自在景洪,云南,2024-12-04 23:09:08,哇塞
仔妈菲菲,陕西,2024-12-09 12:39:21,文化自信，民族荣誉感
Wwwww,广东,2024-12-04 23:09:05,哈哈哈哈哈哈哈哈哈哈哈哈
绳网用户6626,河南,2024-12-04 23:08:58,春节[赞][赞][赞]
川贝(妖股终结者),四川,2024-12-04 23:06:28,祝大家春节快乐，蛇年春节还有56天[呲牙][呲牙][呲牙]
大风,山西,2024-12-04 23:08:50,炮能放了吗
MARIo,广东,2024-12-04 23:04:11,恭喜
且坐等春树,安徽,2024-12-04 23:09:07,[鼓掌][鼓掌][鼓掌][鼓掌][鼓掌][鼓掌][鼓掌][鼓掌][鼓掌][鼓掌][鼓掌][鼓掌][鼓掌][鼓掌][鼓掌][鼓掌][鼓掌]
hyspy,新疆,2024-12-04 23:07:41,祝贺我妈[大笑][大笑][大笑]
张科,江苏,2024-12-04 23:07:38,人民的期待
SPJ,广西,2024-12-04 23:08:24,祝贺，第一[呲牙][呲牙][呲牙]
没有雪的冬天丶,新疆,2024-12-04 23:07:57,威武！
我要吃包子,安徽,2024-12-04 23:08:55,[呲牙][呲牙][呲牙]
用户6412963670424,广东,2024-12-04 23:09:07,祝祖国越来越繁荣昌盛
泊@,河南,2024-12-04 23:08:55,祝祖国繁荣昌盛，人民幸福安康[抱抱你][抱抱你][抱抱你]
爱由zjy见证.,江苏,2024-12-04 23:09:08,[看][看][看]
枫林绿洲,四川,2024-12-04 23:07:42,我们南充的节日
丌  生,广东,2024-12-04 23:05:10,新年快乐！
高山流水608,浙江,2024-12-04 23:09:09,[鼓掌][鼓掌][鼓掌]
赵亮（专业拆打工程）,广东,2024-12-04 23:06:46,中国人自己的节日[比心][比心][比心]
你算那块小饼干,广东,2024-12-04 23:06:26,能放烟花庆祝一下不
Z大块冰,江苏,2024-12-04 23:05:38,要坚决保护好中华优秀传统文化
一碗苦涩的猪杂粉,广东,2024-12-04 23:06:24,首评发发
枫林绿洲,四川,2024-12-04 23:08:39,@四川文旅 @南充文旅 @高坪文旅 上活
千浔,福建,2024-12-04 23:07:06,骄傲！！！
初・,安徽,2024-12-04 23:07:15,恭喜[送心][送心][送心]
棒棒唐,贵州,2024-12-04 23:07:06,春节快乐，大吉大利[送心][送心][送心]
风再起时,广东,2024-12-04 23:04:56,祝贺申遗成功[赞][赞][赞]
飞,河北,2024-12-04 23:07:34,广东发来祝贺
守护昆仑,新疆,2024-12-04 23:08:05,新年快乐啊。
卖果果的老阿姨,四川,2024-12-04 23:07:02,哈哈，过年假期延长
沫时,浙江,2024-12-04 23:07:36,春节也是好起来了[捂脸]
飞天日月,辽宁,2024-12-04 23:09:08,[烟花][烟花][烟花]
任多同学,天津,2024-12-04 23:08:34,春节假期增加一起庆祝一下[抱抱你][抱抱你][抱抱你]
复帅,江苏,2024-12-04 23:04:31,我第一哦
等风来“,浙江,2024-12-04 23:06:59,一楼出现了[黑脸][黑脸][黑脸]
菠萝咕噜肉,安徽,2024-12-04 23:07:03,[小鼓掌]恭喜！！！
降乾,重庆,2024-12-04 23:08:03,i第一
银杏树红枫绿化,江苏,2024-12-04 23:07:14,提前祝大家：春节快乐，恭喜发财[比心]
忘,天津,2024-12-04 23:08:58,[玫瑰][玫瑰][玫瑰][玫瑰]
施振华-馒头,广东,2024-12-04 23:08:53,[奸笑][奸笑][奸笑][奸笑][奸笑][奸笑]我也能体验非物质文化遗产的活动了
小奥哥哥,浙江,2024-12-04 23:08:06,新春快乐！
所以，,江苏,2024-12-04 23:08:38,所以春节国际化了
书法人生,河南,2024-12-04 23:06:43,这次韩国没有抢注吗？
李碗北,上海,2024-12-04 23:05:18,好
小逝舟,江西,2024-12-04 23:05:30,哇哇哇哇哇哇终于[大笑][大笑][大笑]
小胖呀！,广东,2024-12-04 23:05:24,一楼，我出息了
西红柿炒鸡蛋,山东,2024-12-04 23:06:05,[赞][赞][赞][赞][赞][赞]太棒啦
星云煮雪,广东,2024-12-04 23:09:13,[玫瑰][玫瑰][玫瑰]
晨曦《勿连赞》,广东,2024-12-07 08:05:35,好消息，中国文化博大精深，走向世界！
谷谷酱,浙江,2024-12-04 23:08:49,恭喜
优秀的绵羊,河南,2024-12-04 23:08:57,[赞][赞][赞]
世界上的衰小孩,浙江,2024-12-04 23:08:03,喜报，我前排
zang,江苏,2024-12-04 23:06:25,恭喜恭喜
栋梁书画艺术,江苏,2024-12-04 23:05:38,祝贺春节申报成功[666][666][666][比心][比心][比心]
水水濑,中国香港,2024-12-04 23:08:56,[玫瑰][玫瑰][玫瑰]
嘿！佳哥,山东,2024-12-04 23:07:36,大家，过年好[礼物][礼物][礼物]
努力x,山西,2024-12-04 23:06:57,见证了
熠,河南,2024-12-04 23:07:11,[赞][赞][赞]
有何不可？,广西,2024-12-04 23:07:28,第一
沫小萱,广东,2024-12-04 23:05:51,来了
行走的小马,河北,2024-12-04 23:08:28,第一嘛[呲牙][呲牙][呲牙]
ing,四川,2024-12-04 23:08:58,[鼓掌][鼓掌][鼓掌]
万事有嘴，啥都能毁,陕西,2024-12-04 23:08:54,恭喜恭喜啊
中国国家旅游,未知,2024-12-04 23:21:46,[鼓掌][鼓掌][鼓掌]
一只狗子i,广东,2024-12-04 23:08:26,首评 沙发[奸笑][奸笑][奸笑][奸笑][奸笑][奸笑][奸笑][奸笑][奸笑]
天马流星拳,广东,2024-12-04 23:07:50,烧烟花！！！[666][666][666]
一个盒子,吉林,2024-12-04 23:09:05,第一
胖虎射线biubiubiu,江苏,2024-12-04 23:07:57,[绿帽子][绿帽子][绿帽子]，快要过年了，开心开心，我想浪漫的巴蜀了[流泪][流泪][流泪]
看不到都说好,广东,2024-12-04 23:08:13,春节愉快
用户1334695073526,河南,2024-12-04 23:07:19,我来了
定定的小肥仔,广西,2024-12-04 23:08:17,这个！？
韩怼怼,甘肃,2024-12-04 23:08:52,[赞][赞][赞]
？。？,陕西,2024-12-04 23:06:51,不能吧我是第一个？？[不失礼貌的微笑][不失礼貌的微笑][不失礼貌的微笑][不失礼貌的微笑][不失礼貌的微笑][不失礼貌的微笑][不失礼貌的微笑][不失礼貌的微笑][不失礼貌的微笑]
普罗旺斯流云,湖北,2024-12-04 23:06:36,庆祝[呲牙][呲牙][呲牙]
阿晓,湖南,2024-12-04 23:08:52,我第一个评论？
"8.12,8.16",浙江,2024-12-04 23:07:22,芜湖！！
Yolo金,江苏,2024-12-04 23:05:24,抢
。。。,福建,2024-12-04 23:05:29,。
无颜祖,广东,2024-12-04 23:07:59,首评
迷你世界烧烤,山东,2024-12-04 23:09:22,沙发[呲牙][呲牙][呲牙]
小阿哥,浙江,2024-12-04 23:06:02,第一[强壮][强壮][强壮]
啊小乐,安徽,2024-12-04 23:08:52,[赞]
柴米油盐,甘肃,2024-12-04 23:06:50,首评
非凡要努力,河南,2024-12-04 23:07:18,[赞][赞][赞]
余生陪你走,广东,2024-12-04 23:07:58,[赞][赞][赞][赞][赞][赞][赞][赞][赞][赞][赞][赞]
中长跑高手,江西,2024-12-04 23:05:38,[赞][赞][赞]
释理延,福建,2024-12-04 23:05:37,[赞][赞][赞]
user_ffff，,河南,2024-12-04 23:08:05,[赞][赞][赞][赞][赞][赞]
不知名,广东,2024-12-04 23:05:15,[666][666][666][赞][赞][赞]
李木子,重庆,2024-12-04 23:08:47,[赞][赞][赞][赞][赞][赞][赞][赞][赞]
米娜酱,河南,2024-12-04 23:09:22,[比心][比心][比心]
（李）,上海,2024-12-04 23:08:14,[赞][赞][赞]
L    Z    F,河南,2024-12-04 23:05:35,[赞][赞][赞]
鹿鸣,宁夏,2024-12-04 23:08:24,[赞][赞][赞]
猛踹瘸子那条好腿！,新疆,2024-12-04 23:08:36,[看][看][看]
飞跃,江苏,2024-12-04 23:05:40,[玫瑰][玫瑰][玫瑰]
Protection。,广东,2024-12-04 23:07:05,[赞]
川鹤,浙江,2024-12-04 23:07:02,第一
庭琛,河北,2024-12-04 23:08:50,[玫瑰][玫瑰][玫瑰]
啦儿啦队长,四川,2024-12-04 23:06:33,好耶
莫异妖苗,河南,2024-12-04 23:07:14,[赞][赞][赞]首评
一抹晨曦,河北,2024-12-04 23:07:59,[偷笑][偷笑][偷笑]
胡哲睿,浙江,2024-12-04 23:07:00,[赞][赞][赞]
[ 心 的文案,贵州,2024-12-04 23:05:44,[赞][赞][赞][赞][赞][赞][赞][赞][赞][鼓掌][鼓掌][鼓掌][鼓掌][鼓掌][鼓掌][鼓掌][鼓掌]
不会是波波吧,广东,2024-12-04 23:06:03,[击掌][击掌][击掌]
呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜,山东,2024-12-04 23:05:15,[赞][赞][赞]
鱼前戴刀食味,四川,2024-12-04 23:07:54,[泣不成声][泣不成声][泣不成声][666][666][666]
GODD-古得先生,广东,2024-12-04 23:05:19,[666]
Zhang.j,安徽,2024-12-04 23:06:16,[赞][赞][赞]
阿宸,河南,2024-12-04 23:09:00,[赞]
侠*客*行,广东,2024-12-04 23:07:02,[赞][赞][赞][赞][赞][赞]
55555,湖南,2024-12-04 23:06:15,1
Y,贵州,2024-12-04 23:07:22,[撒花][撒花][撒花]
11.09,贵州,2024-12-04 23:06:04,[击掌][击掌][击掌][击掌][击掌][击掌][击掌]
Raye怿,北京,2024-12-04 23:08:38,祝贺[鼓掌][鼓掌][鼓掌]
一路亮剑,广东,2024-12-04 23:07:22,[赞][赞][赞]
钏,广西,2024-12-04 23:08:37,[赞][赞][赞]
颖川,江苏,2024-12-04 23:05:56,[撒花][撒花][撒花][撒花][撒花][撒花]
咕噜咕噜响,江苏,2024-12-04 23:06:42,[赞][赞][赞]
山廿廿,山东,2024-12-04 23:06:54,[赞][赞][赞]
懵懂少年,四川,2024-12-04 23:06:18,[赞][赞][赞]
藁城 小贺吊顶,河北,2024-12-04 23:08:25,[666][666][666]
^_^／,吉林,2024-12-04 23:05:49,[送心][送心][送心]
开开心心每一天！,甘肃,2024-12-04 23:06:59,[赞][赞][赞][666][666][666][玫瑰][玫瑰][玫瑰]
Ho军,广东,2024-12-04 23:06:32,[鼓掌][鼓掌][鼓掌]
l守望黎明i,四川,2024-12-04 23:08:58,[赞][赞][赞]
一条淡水O,河北,2024-12-04 23:06:19,[快哭了][快哭了][快哭了]
shadow,广东,2024-12-04 23:05:43,[666][666][666][666][666][666][666]
